hostname;ip;;versao;coleta_lic;pleft;
ra035640bd.sat1.brad;172.17.30.28; BDN 26841 PUREZA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra00379ag.srr.brad;172.25.79.220;3014 AG JD UNIVERSITARIO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035147bd.sat1.brad;172.27.10.76; BDN 27768 PAA CASTANHEIRAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04698ag.poc.brad;172.25.53.220;1480 AG VILA STA CATARINA;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra052561.igs.brad;172.24.212.220;BDN 27406 POUPATEMPO - OSASCO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39212bd.sat1.brad;172.27.133.172; BDN 35414 - BDN PAA FATIMA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20160bd.csl.brad;172.24.189.60;BDN 10097 GUARACAR COMERCIO DE AUTOMOVEIS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051783.sjc.brad;172.24.100.164;BDN 11759 J VIDAL E CIA LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055958.bsa.brad;172.25.138.44;28881 BDN SUPERMERCADO ESPIRITO SANTO NOSSA SENHORA DE FATIMA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra17598bd.cas.brad;172.24.86.44;BDN 0981 CARREF. VALINHOS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra057765.cta.brad;172.25.231.164;BDN 9725 ASSOC ROBERT BOSCH - INTERFACE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra37897bd.sat1.brad;172.27.140.252; BDN 25668 PAA BOTUMITIM;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra17471pb.fla.brad;172.24.219.172;2 PAB 3456-02 COELCE - AG 3456;C2600 (C2600-IS-M) versao:12.3(21);n;-;
ra00287ag.cba.brad;172.25.184.188;1966 AG RUA BARAO DE MELGACO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra004955.bru.brad;172.25.241.36;AG 3386 EMPRESAS PRES PRUDENTE;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra17293bd.igs.brad;172.24.130.20;BDN 20923 COOP - COOPERATIVA DE CONSUMO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra037659.jfa.brad;172.25.60.140; 10164 - RODOVIARIA DE JUIZ DE FORA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22185.sdr.brad;172.25.2.144;3685 AG ITABELA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra053006.mbi.brad;172.25.130.84;BDN MASTER 27517/SLAVE 27518DOCELAR ITAQUAQUECETUBA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra26130.tte.brad;172.25.139.76;21701 BDN POSTO GUERREIRO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04359.mke.brad;172.24.104.84;2507 AG CEASA - RJ;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra00510ag.rce.brad;172.25.198.188;AG 0389 MACEIO;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra005181.poc.brad;172.25.55.68;BDN 12594 GOLDEN CARGO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19544bd.rce.brad;172.24.204.124;BDN 7767 BOMPRECO CARUARU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra061738.vta.brad;;;;y;Period left: Life time;
ra08712.gna.brad;172.25.181.140;AG 0140 GOIANIA;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra22613.rpo.brad;172.26.228.18;AG 2694 RUA PADRE DUARTE;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra30937.fla.brad;172.27.75.52;AG. 0937 PICOS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20065bd.cas.brad;172.24.83.84;BDN 10464 / 26033 COSMOPOLIS PLAZA SHOPPING;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39866bd.sat1.brad;172.27.109.140; BDN 16350 - 25585 - BDN PREFEITURA DE FORTALEZA DOS NOGUEIRAS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra12041bd.rce.brad;172.25.200.228;BDN 7397 ATM PAE PHILIPS ELETR. DO NORDESTE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra050729.sat1.brad;172.25.43.52;PAB 0301-23 BRASANITAS EMP.BRASILEIRA DE SANEAMENTO E COM.;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra30357.fns.brad;172.27.87.132;AG. 0357 - JOACABA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20085bd.ave.brad;172.24.135.212;BDN 12311   COMERCIAL HIROTA LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20141bd.sjc.brad;172.24.58.148;BDN 4939 GM MVA ENTRADA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra08695.ula.brad;172.26.133.230;2808 AG CENTER SHOP UBERLANDIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39812bd.sat1.brad;172.27.119.140;BDN 7761 - VONPAR SC;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39147bd.sat1.brad;172.27.111.12; BDN 14340 PAB VALE VERDE EMPRESAS AGRICOLAS - ITAPACI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra35228bd.sat1.brad;172.17.6.44; BDN 26350 PAA MATUPA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra31448.pvo.brad;172.27.77.84;AG. 1448 - ARIQUEMES;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39520.cdl.brad;172.24.39.84; 21479 BDN POSTO SANTA CLARA DA PAVUNA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04725.pjk.brad;172.24.13.164;2062 AG FRADIQUE COUTINHO;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra051315.sdr.brad;172.24.158.108;PAB 03 PAB DILLY NORDESTE S A - AG 0270;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22802.sdr.brad;172.25.133.108;3660 AG RODELAS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39762bd.sat1.brad;172.27.129.252; BDN 22901 - BDN PAA PARECIDA DO RIO NEGRO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39802bd.sat1.brad;172.27.120.92;BDN 20063 - SUPERMERCADOS FEIRA NOVA LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20021bd.cens.brad;172.24.224.172;BDN 8017   ASBERIT LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035285bd.sat1.brad;172.17.9.44; BDN 26422 PAA PILAR DE GOIAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra17421ag.fla.brad;172.24.222.212;AG 0711 HORIZONTE - CE;C1700 (C1700-BNR2SY7-M) versao:12.3(17b);n;-;
ra15753bd.sdr.brad;172.24.208.172; BDN 20802 CONDOMINIO CAMACARI OPEN CENTER;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra04545ag.rce.brad;172.25.211.44;290 AG MACIEL PINHEIRO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra18561.scec.brad;172.24.36.180;BDN 12029 SE SUPERMERCADO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra008619.cine.brad;172.24.140.116;3176 AG CINELANDIA;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra39995bd.sat1.brad;172.27.174.108; BDN 25709 PAA NOVO HORIZONTE DO NORTE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051036.cens.brad;172.25.212.244;BDN 14636  DELOITTE T TOHMATSU;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39776bd.sat1.brad;172.27.131.92; BDN 35412 - BDN PAA BONITO - BA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra021309ag.bhe.brad;172.24.61.236;1064 AG PRIME GOV VALADARES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra050295.mke.brad;172.25.139.236;BDN 14409 TRANSPORTES STA MARIA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra050062.csl.brad;172.24.136.204;AG. 1590 CANELA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39774bd.sat1.brad;172.27.131.60; BDN 35408 - BDN PAA MANAQUIRI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra00205ag.pae.brad;172.26.228.78;AG 1564 RUA FIORAVANTE MILANEZ;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra055865.pvo.brad;172.25.136.252;28811 BDN HORTIFRUTI CASA DOS CEREAIS;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra20090.paa.brad;172.24.226.100;BDN 2795/22509 TIVOLI SHOPPING;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20069bd.ave.brad;172.24.135.204;BDN 10985 SHOPPING METRO SANTA CRUZ;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20132bd.pat.brad;172.24.129.148;BDN 13764 IEP;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra039418.rpo.brad;172.24.172.20; 4976 BDN COIMBRA FRUTESP;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra17192bd.jpa.brad;172.24.197.84;BDN 21360 ROD ARGEM FIGUEIREDO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra17533bd.cpe.brad;172.24.171.28;BRADESCO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra03318ag.mke.brad;172.25.119.20;AGC 3318 SUPERM CARREFOUR NITEROI;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra038426.sdr.brad;172.25.39.60;6203 BDN PAB CARAIBA METAIS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra061068.pvo.brad;172.17.21.12; AG 6721 SUPERMERCADO GONCALVES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038131bd.sat1.brad;172.27.159.172; BDN 28400 PAA RAFAEL FERNANDES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038295bd.sat1.brad;172.17.89.44; BDN 29042 PAA FLORES DO PIAUI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra09123bd.rce.brad;172.25.200.100;BDN 7666 - ATM ALPARGATAS S/A;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra038603.rce.brad;172.25.227.204; 9917 BDN PAE BOMPRECO B LEV;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra056092.mke.brad;172.25.247.188;PAB  PAB 1699-04 INFRAERO - AG;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra08249ag.sdr.brad;172.25.210.156;AG 3688 - AG PAULO AFONSO;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra39754bd.sat1.brad;172.27.129.108; BDN 22910 - BDN PAA CACHOEIRA DO CAMPO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39904.nct.brad;172.26.252.18; 8256 BDN VIACAO B BRANCA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39223.sdr.brad;172.26.254.34;9817 BDN PAE CATA NORDESTE;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra035722bd.sat1.brad;172.17.36.60; BDN 27030 AGUA DOCE DO MARANHAO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39661bd.sat1.brad;172.27.213.124; BDN 26194 PAA MATINA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra053143.mbi.brad;172.24.251.156;BDN 27495 COMPRE BEM PENTEADO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22401.fla.brad;172.25.88.148;14942 BDN SEAD;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra37743bd.sat1.brad;172.27.137.236; BDN 22987 PAA CARACOL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051071.sts.brad;172.25.213.220;BDN 14671 MOSAIC;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39778bd.sat1.brad;172.27.132.220; BDN 35411 - BDN PAA 64 SERRA DO NAVIO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04451ag.cta.brad;172.24.125.156;2015 AG MERCES;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra39889.jai.brad;172.25.197.204; 10565 AUTO POSTO BR MARCUSSI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra009934.nct.brad;172.24.31.84;AGC 3150 EXTRA PERTO SABARA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra39271.nct.brad;172.25.85.76;9796 BDN SUPERMERC. SE I;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39775.mga.brad;172.26.128.114; BDN PAA 35442 BDN PAA SANTO ANTONIO DO CAIUA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22196.mga.brad;172.24.195.28;871 AG MAUA DA SERRA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra060383.mbi.brad;172.26.233.150;AG 6574 LARGO DA BATATA - URB. SPO;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra39757.bru.brad;172.25.150.44; BDN 22908 - BDN PAA ESTRELA DO NORTE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
rcemex01.igs.psys;;;3800 (C3845-SPSERVICESK9-M) versao:12.4(24)T1;n;-;
ra22139.rpo.brad;172.25.1.228;733 AG CANDIDO RODRIGUES;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra056520.sat3.brad;172.17.96.60; 29109 BDN PAA BOM PRINCIPIO DO PIAUI;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra17347bd.pcs.brad;172.24.154.12;BDN 21604  RODR E RODR  SUPERM;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra12692pb.pae.brad;172.24.254.252;PAB 08 DIGICON - AG 0877;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra061060.cta.brad;172.26.234.54;BDN 29597_29598 AUTO POSTO SUL BRASIL - INTERFACE;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra059752.gna.brad;172.26.255.222;29466 BDN SUPERMERCADO REIS;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra019968.mke.brad;172.24.224.148;BDN 3065 ENAISSENCE DO BR;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra17336bd.jpa.brad;172.24.199.116;BRASTEX S.A.;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra15845bd.sbo.brad;172.24.60.172;BDN 13351 PAE FORD (PREDIO 01);C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra33162ag.sat1.brad;172.27.148.76;AG 3162 ARACAJU CENTRO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra17333bd.fla.brad;172.24.219.44;BDN 3472 / 14367 CONFECCOES GUARARAPES;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra38556.blm.brad;172.26.129.10; BDN PAA 22649 BDN PAA PREFEITURA MONTES ALTOS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39768bd.sat1.brad;172.27.71.124; BDN 25760 PAA MARQUES DE SOUZA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra38696bd.sat2.brad;172.27.198.108;6610 BDN POSTO ONODI;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39785.mga.brad;172.26.227.34; BDN PAA 25777 BDN PAA DISTRITO ALTO ALEGRE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22486.srr.brad;172.25.8.84;1354 AG SEVERINIA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra04753ag.pjk.brad;172.24.13.252;2505 AG VILA GRANADA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra12782bd.pat.brad;172.24.23.252;BDN 20513-22720 SUPERMERCADO SUBLIME;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra31249.cba.brad;172.27.57.180;AG 1249 TANGARA DA SERRA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra30007.bru.brad;172.27.30.36;AG. 0007 LINS;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra035289bd.sat1.brad;172.17.9.108; BDN 26463 PAA SANTO ANTONIO DO AVENTUREIRO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra061445.cpe.brad;172.24.51.100;13593_62774 BDN TRIBUNAL DE JUSTIGA DO ESTADO DO MATO GROSSO DO SUL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra37875bd.sat1.brad;172.27.241.188; BDN 25641 PAA MUNHOZ DE MELO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra38951bd.sat1.brad;172.27.133.252; BDN 25856 PAA BUJARU;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051802.pjk.brad;172.24.42.164;BDN 25871  SUPERMERCADO DAVO SAO MIGUEL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra052841.igs.brad;172.24.230.172;27104_22510 BDN ATACADAO TEOTONIO VILELA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra12889.sts.brad;172.24.65.12;BDN 1384 / 27673 BDN CHRIS. SHOPPING;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22336.cba.brad;172.25.9.220;1646 AG PEIXOTO DE AZEVEDO;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra22054.csc.brad;172.25.239.145;AG. 3281 PALOTINA - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39755.pcs.brad;172.26.129.26; BDN PAA 22909 BDN PAA INCONFIDENTES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20092pb.ula.brad;172.24.164.172;PAB 02 ALIANCA ATACADISTA LTDA - AG 1901;C1700 (C1700-Y-M) versao:12.1(5)T12;n;-;
ra35225bd.sat1.brad;172.17.5.252; BDN 26292 PAA PONTE NOVA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39752bd.sat1.brad;172.27.129.76; BDN 22894 - BDN PAA PREFEITURA BERURI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra059899.bsa.brad;172.26.242.82;29473 BDN PREDIO DO SENADO FEDERAL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra16175bd.cine.brad;172.24.107.204;BDN 20822 BDN SHOPPING NALIN;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra13018bd.rce.brad;172.25.201.244;BDN 747 SHOP.CENT. RECIFE - INTERFACE DE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39544.cba.brad;172.26.128.46; BDN PAA 26269 BDN PAA CARLINDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra026371.blm.brad;172.25.180.212;25591 BDN ARMAZEM PARAIBA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra031486.pvo.brad;172.25.137.236;1486 AG ROLIM DE MOURA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra12991ag.igs.brad;172.24.65.116;2484 AG VILA ASSIS BRASIL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra08110ag.sdr.brad;172.24.160.124;3649 AG SHOPPING LITORAL NORTE;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra051083.sdr.brad;172.25.179.4;BDN 14617 SCO SEBASTIAO DO PASSE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20151bd.sdr.brad;172.24.225.68;BDN 6950 SECRETARIA DE SEG PUBLICA-SSP;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra039089.pae.brad;172.25.101.116; 10701 SUPERMERCADOS FEBERNATI SA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39771.gna.brad;172.26.128.154; BDN PAA 35424 BDN ITAGUARI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22560.pjk.brad;172.25.103.252;AGP 2584 AV. SAO LUIZ;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra035453bd.sat1.brad;172.17.16.220; BDN 26611 BRAGANEY;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra33159ag.sat1.brad;172.27.97.156;AG 3159 URUGUAIANA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051306.srr.brad;172.25.93.92;BDN 26342 AUTO POSTO ENG CELESTE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035800bd.sat1.brad;172.17.42.204; BDN 27126 CUTIAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22382.srr.brad;172.25.138.84;1350 AG MONTE AZUL PAUL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra15830pb.nct.brad;172.24.170.164;PAB 0095-39 TELEFONICA - AG 95;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra039758.pga.brad;172.26.128.142; BDN PAA 22907 BDN PAA ANTONIO OLINTO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra17443ag.fla.brad;172.24.223.132;IGFLA02;C1700 (C1700-BNR2SY7-M) versao:12.3(17b);n;-;
ra056129.mbi.brad;172.25.236.100;AG 1830 SUPERM. PORTUGUES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39766bd.sat1.brad;172.27.128.188; BDN 22938 - BDN PREFEITURA DE CAFEARA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra039285.bsa.brad;172.26.127.218; BDN PAA 22693 BDN PAA SANTA FE DO ARAGUAIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra08158ag.sdr.brad;172.25.209.252;AG 3062 STO ANTONIO DE JESUS;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra32836.rpo.brad;172.27.47.212;AG. 2836 - AL.PAULISTA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22634.bnu.brad;172.25.4.36;AGP 3483 BLUMENAU;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra038323.sdr.brad;172.27.228.132;1 PAB 3621-01 PAB PREF. MUNIC. DE MONTE SANTO   - AG 3621;C2600 (C2600-IS-M) versao:12.0(7);n;-;
ra16687ag.csl.brad;172.24.248.28;0988 AGP BENTO GONCALVES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19938.pjk.brad;172.24.103.4;PAB 1 VIACAO BOLA BRANCA - AG 2458;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra26032bd.sat2.brad;172.27.253.188;BDN 21936 MALHAS FERJU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra06510ag.blm.brad;172.25.217.92;AG 0487 MARAJO;2801 (C2801-ENTBASE-M) versao:12.3(14)T6;n;-;
ra38048.blm.brad;172.25.113.244;PAB-PAA 1117-01 SALA DE APOIO VITORINO FREIRE - AG;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra032136.ula.brad;172.27.44.100;AG 2136 - PCA DA ESTACAO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra04700.mbi.brad;172.24.17.212;1621 AG FRANCISCO MORATO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20066bd.pat.brad;172.24.247.148;BDN 10536 EDIFICIO CRYSTAL TOWER OFFICE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra04816.poc.brad;172.25.25.44;2871 AG VILA JACUI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39105.mbi.brad;172.25.234.36; 40497 BDN SOC.PAULISTA P DESENV.DA MEDICINA HOSP.V.MARIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra054983.pvo.brad;172.25.76.180;AG 1630 PORTO VELHO SHOPPING;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra11931pb.blm.brad;;;C1700 (C1700-BNR2SY7-M) versao:12.3(10);n;-;
ra053327.poc.brad;172.24.244.204;27747 BDN SUPERMERCADO COOP JARD MILENA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22346.cta.brad;172.25.59.196;ALTA !0 @D;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39276.soc.brad;172.26.253.54;13430 BDN PAB PUC PONTIFICA UNIVERSIDADE CATOLICA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra055829.sts.brad;172.25.113.60;28854 BDN ACQUA MUNDO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra01324ag.pcs.brad;172.24.102.92;2299 AGP POCOS DE CALDAS;2801 (C2801-ENTBASE-M) versao:12.3(14)T6;n;-;
ra050999.sjc.brad;172.26.232.46;BDN 26222 FARMAVALE TELESPARK;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra06452bd.pat.brad;172.25.21.20;BDN 12495 - ATM ATACADAO DIST COM E IND;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035649bd.sat1.brad;172.17.30.204; BDN 26884 INGAZEIRA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra17861ag.bhe.brad;172.25.158.68;0492 AG VILA RECREIO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04768ag.igs.brad;172.25.23.140;AG 2594 AV ALFRED KRUPP;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra055073.nct.brad;172.25.63.44;28410_28411 BDN OPEN MALL SAO FERNANDO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22775.srr.brad;172.25.173.108;3030 AG GUAPIACU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra32690ag.sat1.brad;172.27.80.204;AG 2690 GRANDE CIRCULAR;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19903bd.pat.brad;172.24.73.228;BDN 3019   CIA LECO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39727.bru.brad;172.25.150.36;BDN 22841 PAA PREFEITURA NANTES BDN !0 @D;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
